Spin the disc,8,674,130,SCRATCH,ANOTHER
サヨナラ・ヘヴン,8,855,111,SCRATCH,ANOTHER
Close my Eyes for Me,9,948,132-145,SCRATCH,ANOTHER
route 80s,9,766,122,SCRATCH,ANOTHER
250bpm,10,726,250,SCRATCH,ANOTHER
5.1.1.,10,786,101,SCRATCH,ANOTHER
bass 2 bass,10,970,140,SCRATCH,ANOTHER
Buffalo,10,932,108,SCRATCH,ANOTHER
Catch Me,10,925,115,SCRATCH,ANOTHER
Do Back Burn,10,1078,136,SCRATCH,ANOTHER
Feedback,10,1010,140,SCRATCH,ANOTHER
HEARTACHE,10,930,90,SCRATCH,ANOTHER
Hella Deep,10,959,132-150,SCRATCH,ANOTHER
Midnight Drive,10,1016,90-110,SCRATCH,ANOTHER
NO LIMIT -オレ達に限界は無い-,10,1148,150,SCRATCH,ANOTHER
Non Stop Rock,10,952,172,SCRATCH,ANOTHER
Really Love,10,898,100,SCRATCH,ANOTHER
rottel-da-sun,10,936,200,SCRATCH,ANOTHER
SPEED DEMON,10,1198,190,SCRATCH,ANOTHER
SWEET LAB,10,692,120,SCRATCH,ANOTHER
WAR GAME,10,1077,93,SCRATCH,ANOTHER
オレはビートマニア！お前は何マニア？,10,873,123,SCRATCH,ANOTHER
灼熱Beach Side Bunny (Masayoshi Iimori Remix),10,933,150,SCRATCH,ANOTHER
廿,10,1215,120-160,SCRATCH,ANOTHER
27th style,11,1299,165,SCRATCH,ANOTHER
Beat Juggling Mix,11,1138,66-198,SCRATCH,ANOTHER
Bounce Bounce Bounce,11,1293,116,SCRATCH,ANOTHER
CHECKING YOU OUT,11,700,108-216,SCRATCH,ANOTHER
CODE:0,11,1454,125,SCRATCH,ANOTHER
Digitank System,11,1096,128,SCRATCH,ANOTHER
Halfway of promise,11,940,140,SCRATCH,ANOTHER
IDC feat.REVERBEE (Mo'Cuts Ver),11,1145,140,SCRATCH,ANOTHER
Just a Little Smile,11,1272,136,SCRATCH,ANOTHER
naughty girl@Queen's Palace,11,1088,145,SCRATCH,ANOTHER
naughty girl@Queen's Palace,11,1380,145,SCRATCH,LEGGENDARIA
Overload Frontier,11,1336,175,SCRATCH,ANOTHER
rough percussionythm,11,1295,175,SCRATCH,ANOTHER
Routing,11,1323,144,SCRATCH,ANOTHER
SAMURAI-Scramble,11,1232,150,SCRATCH,ANOTHER
Swarm Of Scarabs,11,1212,110,SCRATCH,ANOTHER
SWEETEST SAVAGE,11,930,114,SCRATCH,ANOTHER
Uh-Oh,11,1228,175,SCRATCH,ANOTHER
Wonder Bullfighter,11,1062,126,SCRATCH,ANOTHER
カジノファイヤーことみちゃん,11,1271,230,SCRATCH,ANOTHER
とろぴかる倶楽部,11,1154,120,SCRATCH,ANOTHER
ベィスドロップ・フリークス,11,1275,179,SCRATCH,LEGGENDARIA
ラクエン,11,1034,99-198,SCRATCH,ANOTHER
花冠 feat.Aikapin,11,1365,83-180,SCRATCH,ANOTHER
199024club -Re:BounceKiller-,12,1260,143,SCRATCH,ANOTHER
Be quiet,12,1463,150,SCRATCH,LEGGENDARIA
BLACK.by X-Cross Fade,12,1738,163,SCRATCH,ANOTHER
BLUE MIRAGE,12,1606,170,SCRATCH,ANOTHER
Caterpillar,12,1561,170,SCRATCH,ANOTHER
Don't believe the hype,12,1666,210,SCRATCH,ANOTHER
Double Dribble,12,1683,210,SCRATCH,ANOTHER
Level 2,12,1488,150,SCRATCH,ANOTHER
Level 3,12,1844,175,SCRATCH,ANOTHER
Level One,12,1857,173,SCRATCH,ANOTHER
Lords Of The Roundtable,12,1586,174,SCRATCH,ANOTHER
Plan 8,12,1690,212,SCRATCH,ANOTHER
Purple Perplex,12,1578,150,SCRATCH,ANOTHER
Red. by Full Metal Jacket,12,1643,158,SCRATCH,ANOTHER
Red. by Jack Trance,12,1862,160,SCRATCH,ANOTHER
SAMURAI-Scramble,12,1576,150,SCRATCH,LEGGENDARIA
SAY BAY,12,1455,165,SCRATCH,ANOTHER
SCREW // owo // SCREW,12,1567,114,SCRATCH,ANOTHER
Skreaming for Salvation,12,1625,200,SCRATCH,ANOTHER
Snake Stick,12,1447,145,SCRATCH,ANOTHER
The Chase,12,1148,142,SCRATCH,ANOTHER
Watch Out Pt.2,12,1506,148,SCRATCH,ANOTHER
Xperanza,12,1637,200,SCRATCH,ANOTHER
バッド・スイーツ、バッド・ドリーム,12,1862,220,SCRATCH,ANOTHER
灼熱 Pt.2 Long Train Running,12,1804,165,SCRATCH,ANOTHER
灼熱Beach Side Bunny,12,1719,153,SCRATCH,ANOTHER
火影,12,1437,136,SCRATCH,ANOTHER
Somebody Like You,9,933,125,SCRATCH,ANOTHER
RAGE feat.H14 of LEONAIR,12,1886,166,SCRATCH,ANOTHER
WHA,12,1946,108,SCRATCH,ANOTHER
